Name,Category,Film,Win_Oscar?,Year_Ceremony,Birth_Date,Birth_Place,Gender,Race or Ethnicity,Sexual orientation,Religion,Link
Michael J. Pollard,ACTOR IN A SUPPORTING ROLE,Bonnie and Clyde,FALSO,1968,30-05-1939,"Passaic, NJ",Male,White,Straight,Na,http://www.nndb.com/people/243/000130850/
Anne Bancroft,ACTRESS,The Graduate,FALSO,1968,17-09-1931,"Bronx, NY",Female,White,Straight,Roman Catholic,/people/439/000023370/
Faye Dunaway,ACTRESS,Bonnie and Clyde,FALSO,1968,14-01-1941,"Bascom, FL",Female,White,Straight,Roman Catholic,/people/884/000022818/
Dame Edith Evans,ACTRESS,The Whisperers,FALSO,1968,1888-02-08,"London, England",Female,White,Straight,Christian Science,https://www.nndb.com/people/472/000116124/
Audrey Hepburn,ACTRESS,Wait until Dark,FALSO,1968,04-05-1929,"Brussels, Belgium",Female,White,Straight,Christian Science,/people/933/000026855/
Katharine Hepburn,ACTRESS,Guess Who's Coming to Dinner,VERDADERO,1968,12-05-1907,"Hartford, CT",Female,White,Bisexual,Atheist,/people/775/000023706/
Carol Channing,ACTRESS IN A SUPPORTING ROLE,Thoroughly Modern Millie,FALSO,1968,31-01-1921,"Seattle, WA",Female,Multiracial,Straight,Christian Science,https://www.nndb.com/people/935/000022869/
Mildred Natwick,ACTRESS IN A SUPPORTING ROLE,Barefoot in the Park,FALSO,1968,19-06-1905,"Baltimore, MD",Female,White,Na,Christian Science,http://www.nndb.com/people/058/000130665/
Estelle Parsons,ACTRESS IN A SUPPORTING ROLE,Bonnie and Clyde,VERDADERO,1968,20-11-1927,"Marblehead, MA",Female,White,Straight,Na,/people/475/000032379/
Beah Richards,ACTRESS IN A SUPPORTING ROLE,Guess Who's Coming to Dinner,FALSO,1968,12-07-1920,"Vicksburg, MS",Female,Black,Straight,Na,http://www.nndb.com/people/056/000132657/
Katharine Ross,ACTRESS IN A SUPPORTING ROLE,The Graduate,FALSO,1968,29-01-1940,"Hollywood, CA",Female,White,Straight,Na,http://www.nndb.com/people/335/000085080/
Arthur Penn,DIRECTING,Bonnie and Clyde,FALSO,1968,27-09-1922,"Philadelphia, PA",Male,White,Straight,Na,http://www.nndb.com/people/921/000022855/
Mike Nichols,DIRECTING,The Graduate,VERDADERO,1968,06-11-1931,"Berlin, Germany",Male,White,Straight,Jewish,/people/455/000023386/
Stanley Kramer,DIRECTING,Guess Who's Coming to Dinner,FALSO,1968,29-09-1913,"Brooklyn, NY",Male,White,Straight,Jewish,http://www.nndb.com/people/120/000056949/
Richard Brooks,DIRECTING,In Cold Blood,FALSO,1968,18-05-1912,"Philadelphia, PA",Male,White,Straight,Jewish,http://www.nndb.com/people/534/000032438/
Norman Jewison,DIRECTING,In the Heat of the Night,FALSO,1968,21-07-1926,"Toronto, Ontario, Canada",Male,White,Straight,Na,http://www.nndb.com/people/186/000023117/
Alan Arkin,ACTOR,The Heart Is a Lonely Hunter,FALSO,1969,26-03-1934,"Brooklyn, NY",Male,White,Straight,Jewish,/people/777/000022711/
Alan Bates,ACTOR,The Fixer,FALSO,1969,17-02-1934,"Allestree, Derbyshire, England",Male,White,Bisexual,Na,http://www.nndb.com/people/025/000024950/
Ron Moody,ACTOR,Oliver!,FALSO,1969,08-01-1924,"London, England",Male,White,Straight,Jewish,http://www.nndb.com/people/339/000025264/
Peter O'Toole,ACTOR,The Lion in Winter,FALSO,1969,02-08-1932,"Connemara, Ireland",Male,White,Straight,Roman Catholic,http://www.nndb.com/people/480/000026402/
Cliff Robertson,ACTOR,Charly,VERDADERO,1969,09-09-1923,"La Jolla, CA",Male,White,Straight,Na,/people/134/000023065/
Jack Albertson,ACTOR IN A SUPPORTING ROLE,The Subject Was Roses,VERDADERO,1969,16-06-1907,"Malden, MA",Male,White,Na,Na,/people/559/000049412/
Seymour Cassel,ACTOR IN A SUPPORTING ROLE,Faces,FALSO,1969,22-01-1935,"Detroit, MI",Male,White,Straight,Na,http://www.nndb.com/people/212/000136801/
Daniel Massey,ACTOR IN A SUPPORTING ROLE,Star!,FALSO,1969,10-10-1933,"London, England",Male,White,Straight,Na,http://www.nndb.com/people/679/000092403/
Jack Wild,ACTOR IN A SUPPORTING ROLE,Oliver!,FALSO,1969,30-09-1952,"Royton, Lancashire, England",Male,White,Straight,Born-Again Christian,http://www.nndb.com/people/580/000089313/
Gene Wilder,ACTOR IN A SUPPORTING ROLE,The Producers,FALSO,1969,11-06-1933,"Milwaukee, WI",Male,White,Straight,Jewish,http://www.nndb.com/people/852/000023783/
Katharine Hepburn,ACTRESS,The Lion in Winter,VERDADERO,1969,12-05-1907,"Hartford, CT",Female,White,Bisexual,Atheist,/people/775/000023706/
Patricia Neal,ACTRESS,The Subject Was Roses,FALSO,1969,20-01-1926,"Packard, KY",Female,White,Straight,Roman Catholic,/people/226/000042100/
Vanessa Redgrave,ACTRESS,Isadora,FALSO,1969,30-01-1937,"London, England",Female,White,Straight,Na,/people/590/000023521/
Barbra Streisand,ACTRESS,Funny Girl,VERDADERO,1969,24-04-1942,"Brooklyn, NY",Female,White,Straight,Jewish,/people/526/000022460/
Joanne Woodward,ACTRESS,"Rachel, Rachel",FALSO,1969,27-02-1930,"Thomasville, GA",Female,White,Straight,Na,/people/747/000043618/
Lynn Carlin,ACTRESS IN A SUPPORTING ROLE,Faces,FALSO,1969,31-01-1938,"Los Angeles, CA",Female,White,Straight,Na,https://www.imdb.com/fr/name/nm0137524/?ref_=nv_sr_srsg_0_tt_0_nm_8_in_0_q_Lynn%2520Carlin
Ruth Gordon,ACTRESS IN A SUPPORTING ROLE,Rosemary's Baby,VERDADERO,1969,1896-10-30,"Quincy, MA",Female,White,Straight,Na,/people/818/000043689/
Sondra Locke,ACTRESS IN A SUPPORTING ROLE,The Heart Is a Lonely Hunter,FALSO,1969,28-05-1944,"Shelbyville, TN",Female,White,Straight,Na,http://www.nndb.com/people/790/000024718/
Kay Medford,ACTRESS IN A SUPPORTING ROLE,Funny Girl,FALSO,1969,14-09-1914,New York City,Female,White,Na,Roman Catholic,http://www.nndb.com/people/224/000349174/
Estelle Parsons,ACTRESS IN A SUPPORTING ROLE,"Rachel, Rachel",FALSO,1969,20-11-1927,"Marblehead, MA",Female,White,Straight,Na,/people/475/000032379/
Gillo Pontecorvo,DIRECTING,The Battle of Algiers,FALSO,1969,19-11-1919,"Florence, Italy",Male,White,Straight,Na,https://www.imdb.com/fr/name/nm0690597/?ref_=nv_sr_srsg_0_tt_4_nm_4_in_0_q_Gillo%2520Pontecorvo
Anthony Harvey,DIRECTING,The Lion in Winter,FALSO,1969,03-06-1930,"London, England",Male,White,Na,Na,https://www.imdb.com/fr/name/nm0367431/?ref_=nv_sr_srsg_0_tt_0_nm_8_in_0_q_Anthony%2520Harvey
Carol Reed,DIRECTING,Oliver!,VERDADERO,1969,30-12-1906,"London, England",Male,White,Straight,Na,/people/290/000064098/
Franco Zeffirelli,DIRECTING,Romeo and Juliet,FALSO,1969,12-02-1923,"Florence, Italy",Male,White,Gay,Roman Catholic,http://www.nndb.com/people/937/000022871/
Stanley Kubrick,DIRECTING,2001: A Space Odyssey,FALSO,1969,26-07-1928,"Bronx, NY",Male,White,Straight,Jewish,http://www.nndb.com/people/475/000022409/
Richard Burton,ACTOR,Anne of the Thousand Days,FALSO,1970,10-11-1925,"Pontrhydyfen, Wales",Male,White,Bisexual,Presbyterian,http://www.nndb.com/people/260/000032164/
Dustin Hoffman,ACTOR,Midnight Cowboy,FALSO,1970,08-08-1937,"Los Angeles, CA",Male,White,Straight,Jewish,/people/882/000022816/
Peter O'Toole,ACTOR,"Goodbye, Mr. Chips",FALSO,1970,02-08-1932,"Connemara, Ireland",Male,White,Straight,Roman Catholic,http://www.nndb.com/people/480/000026402/
Jon Voight,ACTOR,Midnight Cowboy,FALSO,1970,29-12-1938,"Yonkers, NY",Male,White,Straight,Roman Catholic,/people/060/000023988/
John Wayne,ACTOR,True Grit,VERDADERO,1970,26-05-1907,"Winterset, IA",Male,White,Straight,Roman Catholic,/people/605/000023536/
Rupert Crosse,ACTOR IN A SUPPORTING ROLE,The Reivers,FALSO,1970,29-11-1927,New York City,Male,Black,Straight,Na,https://www.imdb.com/fr/name/nm0189313/?ref_=nv_sr_srsg_0_tt_0_nm_8_in_0_q_Rupert%2520Crosse
Elliott Gould,ACTOR IN A SUPPORTING ROLE,Bob & Carol & Ted & Alice,FALSO,1970,29-08-1938,"Brooklyn, NY",Male,White,Straight,Jewish,http://www.nndb.com/people/024/000022955/
Jack Nicholson,ACTOR IN A SUPPORTING ROLE,Easy Rider,FALSO,1970,22-04-1937,New York City,Male,White,Straight,Atheist,/people/722/000022656/
Anthony Quayle,ACTOR IN A SUPPORTING ROLE,Anne of the Thousand Days,FALSO,1970,07-09-1913,"Ainsdale, Lancashire, England",Male,White,Straight,Na,http://www.nndb.com/people/734/000101431/
Gig Young,ACTOR IN A SUPPORTING ROLE,"They Shoot Horses, Don't They?",VERDADERO,1970,04-11-1913,"St. Cloud, MN",Male,White,Straight,Na,/people/110/000063918/
Genevieve Bujold,ACTRESS,Anne of the Thousand Days,FALSO,1970,01-07-1942,"Montreal, Quebec, Canada",Female,White,Straight,Roman Catholic,http://www.nndb.com/people/961/000047820/
Jane Fonda,ACTRESS,"They Shoot Horses, Don't They?",FALSO,1970,21-12-1937,New York City,Female,White,Straight,Born-Again Christian,/people/637/000022571/
Liza Minnelli,ACTRESS,The Sterile Cuckoo,FALSO,1970,12-03-1946,"Los Angeles, CA",Female,White,Na,Na,/people/724/000024652/
Jean Simmons,ACTRESS,The Happy Ending,FALSO,1970,31-01-1929,"London, England",Female,White,Straight,Na,http://www.nndb.com/people/535/000032439/
Maggie Smith,ACTRESS,The Prime of Miss Jean Brodie,VERDADERO,1970,28-12-1934,"Ilford, Essex, England",Female,White,Straight,Na,/people/260/000030170/
