nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;companias_produccion;paises_de_produccion;;
Fredric March;Masculino;Racine, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Dummy;Mejor actor;No;1932;The Royal Family of Broadway;;;;
Adolphe Menjou;Masculino;Pittsburgh, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; A Parisian Romance;Mejor actor;No;1932;The Front Page;;;;
Marlene Dietrich;Femenino;Berlín, Alemania;Alemana;Estadounidense ;Blanca;No; So sind die Männer;Mejor actriz;No;1932;Morocco;;;;
Marie Dressler;Femenino;Cobourg, Canadá;Canadiense;Estadounidense;Blanca;Sí; Tillie's Punctured Romance;Mejor actriz;Sí;1932;Min and Bill;;;;
Irene Dunne;Femenino;Louisville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Leathernecking;Mejor actriz;No;1932;Cimarron;;;;
Ann Harding;Femenino;Fort Sam Houston, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Paris Bound;Mejor actriz;No;1932;Holiday;;;;
Norma Shearer;Femenino;Montreal, Canadá;Canadiense;Estadounidense;Blanca;Sí; The Stealers;Mejor actriz;No;1932;A Free Soul;;;;
Wallace Beery;Masculino;Kansas City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; His Athletic Wife;Mejor actor;Sí;1933;The Champ;;;;
Alfred Lunt;Masculino;Milwaukee, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Backbone;Mejor actor;No;1933;The Guardsman;;;;
Fredric March;Masculino;Racine, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Dummy;Mejor actor;Sí;1933;Dr. Jekyll and Mr. Hyde;;;;
Marie Dressler;Femenino;Cobourg, Canadá;Canadiense;Estadounidense;Blanca;Sí; Tillie's Punctured Romance;Mejor actriz;No;1933;Emma;;;;
Lynn Fontanne;Femenino;Londres, Inglaterra;Británica;No aplica;Blanca;Sí; Second Youth;Mejor actriz;No;1933;The Guardsman;;;;
Helen Hayes;Femenino;Washington D.C., Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Jean and the Calico Doll;Mejor actriz;Sí;1933;The Sin of Madelon Claudet;;;;
Leslie Howard;Masculino;Londres, Inglaterra;Británica;No aplica;Blanca;No; The Heroine of Mons;Mejor actor;No;1934;Berkeley Square;;;;
Charles Laughton;Masculino;Scarborough, Inglaterra;Británica;Estadounidense ;Blanca;No; The Tonic;Mejor actor;Sí;1934;The Private Life of Henry VIII;;;;
Paul Muni;Masculino;Leópolis, Ucrania;Estadounidense;No aplica;Blanca;Sí; The Valiant;Mejor actor;No;1934;I Am a Fugitive from a Chain Gang;;;;
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;Sí;1934;Morning Glory;;;;
May Robson;Femenino;Moama, Australia;Australiana;Estadounidense;Blanca;Sí; A Night Out;Mejor actriz;No;1934;Lady for a Day;;;;
Diana Wynyard;Femenino;Londres, Inglaterra;Británica;No aplica;Blanca;Sí; Rasputin and the Empress;Mejor actriz;No;1934;Cavalcade;;;;
Clark Gable;Masculino;Cádiz, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; White Man;Mejor actor;Sí;1935;It Happened One Night;;;;
