nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;companias_produccion;paises_de_produccion;;
Greer Garson;Femenino;Londres, Inglaterra;Británica;Estadounidense ;Blanca;Sí; Goodbye,  Mr. Chips;Mejor actriz;No;1945;Mrs. Parkington;;;;
Barbara Stanwyck;Femenino;Brooklyn, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Locked Door;Mejor actriz;No;1945;Double Indemnity;;;;
Bing Crosby;Masculino;Tacoma, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí;  King of Jazz;Mejor actor;No;1946;The Bells of St. Mary's;;;;
Gene Kelly;Masculino;Pittsburgh, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; For Me and My Gal;Mejor actor;No;1946;Anchors Aweigh;;;;
Ray Milland;Masculino;Neath, Reino Unido;Británica;Estadounidense ;Blanca;No; The Lady from the Sea;Mejor actor;Sí;1946;The Lost Weekend;;;;
Gregory Peck;Masculino;La Jolla, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Days of Glory;Mejor actor;No;1946;The Keys of the Kingdom;;;;
Cornel Wilde;Masculino;Prievidza, Eslovaquia;Estadounidense;No aplica;Blanca;Sí; High Sierra;Mejor actor;No;1946;A Song to Remember;;;;
Ingrid Bergman;Femenino;Estocolmo, Suecia;Sueca ;No aplica;Blanca;No; Munkbrogreven;Mejor actriz;No;1946;The Bells of St. Mary's;;;;
Joan Crawford;Femenino;San Antonio, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Pretty Ladies;Mejor actriz;Sí;1946;Mildred Pierce;;;;
Greer Garson;Femenino;Londres, Inglaterra;Británica;Estadounidense ;Blanca;Sí; Goodbye,  Mr. Chips;Mejor actriz;No;1946;The Valley of Decision;;;;
Jennifer Jones;Femenino;Tulsa, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; New Frontier;Mejor actriz;No;1946;Love Letters;;;;
Gene Tierney;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Return of Frank James;Mejor actriz;No;1946;Leave Her to Heaven;;;;
Fredric March;Masculino;Racine, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Dummy;Mejor actor;Sí;1947;The Best Years of Our Lives;;;;
Laurence Olivier;Masculino;Dorking, Inglaterra;Británica;No aplica;Blanca;No; The Temporary Widow;Mejor actor;No;1947;Henry V;;;;
Larry Parks;Masculino;Olathe, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Mystery Ship;Mejor actor;No;1947;The Jolson Story;;;;
Gregory Peck;Masculino;La Jolla, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Days of Glory;Mejor actor;No;1947;The Yearling;;;;
Jimmy Stewart;Masculino;Indiana, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Murder Man;Mejor actor;No;1947;It's a Wonderful Life;;;;
Olivia de Havilland;Femenino;Tokio, Japón;Británica;Estadounidense;Blanca;Sí; Alibi Ike;Mejor actriz;Sí;1947;To Each His Own;;;;
Celia Johnson;Femenino;Richmond, Inglaterra;Británica;No aplica;Blanca;No; In Which We Serve;Mejor actriz;No;1947;Brief Encounter;;;;
Jennifer Jones;Femenino;Tulsa, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; New Frontier;Mejor actriz;No;1947;Duel in the Sun;;;;
Rosalind Russell;Femenino;Waterbury, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Evelyn Prentice;Mejor actriz;No;1947;Sister Kenny;;;;
Jane Wyman;Femenino;Saint Joseph, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Smart Blonde;Mejor actriz;No;1947;The Yearling;;;;
Ronald Colman;Masculino;Richmond, Inglaterra;Británica;No aplica;Blanca;No; The Live Wire;Mejor actor;Sí;1948;A Double Life;;;;
John Garfield;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; They Made Me a Criminal;Mejor actor;No;1948;Body and Soul;;;;
Gregory Peck;Masculino;La Jolla, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Days of Glory;Mejor actor;No;1948;Gentleman's Agreement;;;;
William Powell;Masculino;Pittsburgh, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Sherlock Holmes;Mejor actor;No;1948;Life with Father;;;;
Michael Redgrave;Masculino;Bristol, Inglaterra;Británica;No aplica;Blanca;No; The Lady Vanishes;Mejor actor;No;1948;Mourning Becomes Electra;;;;
Joan Crawford;Femenino;San Antonio, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Pretty Ladies;Mejor actriz;No;1948;Possessed;;;;
Susan Hayward;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Girls on Probation;Mejor actriz;No;1948;Smash-Up--The Story of a Woman;;;;
Dorothy McGuire;Femenino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Claudia;Mejor actriz;No;1948;Gentleman's Agreement;;;;
Rosalind Russell;Femenino;Waterbury, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Evelyn Prentice;Mejor actriz;No;1948;Mourning Becomes Electra;;;;
Loretta Young;Femenino;Salt Lake City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Sirens of the Sea;Mejor actriz;Sí;1948;The Farmer's Daughter;;;;
Lew Ayres;Masculino;Minneapolis, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Kiss;Mejor actor;No;1949;Johnny Belinda;;;;
Montgomery Clift;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Search;Mejor actor;No;1949;The Search;;;;
Dan Dailey;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Mortal Storm;Mejor actor;No;1949;When My Baby Smiles at Me;;;;
Laurence Olivier;Masculino;Dorking, Inglaterra;Británica;No aplica;Blanca;No; The Temporary Widow;Mejor actor;Sí;1949;Hamlet;;;;
Clifton Webb;Masculino;Indianápolis, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Polly with a Past;Mejor actor;No;1949;Sitting Pretty;;;;
Ingrid Bergman;Femenino;Estocolmo, Suecia;Sueca ;No aplica;Blanca;No; Munkbrogreven;Mejor actriz;No;1949;Joan of Arc;;;;
Olivia de Havilland;Femenino;Tokio, Japón;Británica;Estadounidense;Blanca;Sí; Alibi Ike;Mejor actriz;No;1949;The Snake Pit;;;;
Irene Dunne;Femenino;Louisville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Leathernecking;Mejor actriz;No;1949;I Remember Mama;;;;
Barbara Stanwyck;Femenino;Brooklyn, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Locked Door;Mejor actriz;No;1949;Sorry, Wrong Number;;;;
Jane Wyman;Femenino;Saint Joseph, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Smart Blonde;Mejor actriz;Sí;1949;Johnny Belinda;;;;
Broderick Crawford;Masculino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Woman Chases Man;Mejor actor;Sí;1950;All the King's Men;;;;
Kirk Douglas;Masculino;Ámsterdam, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Strange Love of Martha Ivers;Mejor actor;No;1950;Champion;;;;
Gregory Peck;Masculino;La Jolla, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Days of Glory;Mejor actor;No;1950;Twelve O'Clock High;;;;
Richard Todd;Masculino;Dublín, Irlanda;Irlandesa;Británica;Blanca;No; For Them That Trespass;Mejor actor;No;1950;The Hasty Heart;;;;
John Wayne;Masculino;Winterset, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Words and Music;Mejor actor;No;1950;Sands of Iwo Jima;;;;
Jeanne Crain;Femenino;Barstow, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Home in Indiana;Mejor actriz;No;1950;Pinky;;;;
Olivia de Havilland;Femenino;Tokio, Japón;Británica;Estadounidense;Blanca;Sí; Alibi Ike;Mejor actriz;Sí;1950;The Heiress;;;;
Susan Hayward;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Girls on Probation;Mejor actriz;No;1950;My Foolish Heart;;;;
Deborah Kerr;Femenino;Helensburgh, Escocia;Británica;No aplica;Blanca;No; Major Barbara;Mejor actriz;No;1950;Edward, My Son;;;;
Loretta Young;Femenino;Salt Lake City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Sirens of the Sea;Mejor actriz;No;1950;Come to the Stable;;;;
Louis Calhern;Masculino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; What's Worth While?;Mejor actor;No;1951;The Magnificent Yankee;;;;
José Ferrer;Masculino;Santurce, Puerto Rico;Puertorriqueña;No aplica;Hispana;Sí; Joan of Arc;Mejor actor;Sí;1951;Cyrano de Bergerac;;;;
William Holden;Masculino;O'Fallon, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Golden Boy;Mejor actor;No;1951;Sunset Blvd.;;;;
Jimmy Stewart;Masculino;Indiana, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Murder Man;Mejor actor;No;1951;Harvey;;;;
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1951;Father of the Bride;;;;
Anne Baxter;Femenino;Michigan City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; 20 Mule Team;Mejor actriz;No;1951;All about Eve;;;;
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1951;All about Eve;;;;
Judy Holliday;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Winged Victory;Mejor actriz;Sí;1951;Born Yesterday;;;;
Eleanor Parker;Femenino;Cedarville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Busses Roar;Mejor actriz;No;1951;Caged;;;;
Gloria Swanson;Femenino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Fable of Elvira and Farina and the Meal Ticket;Mejor actriz;No;1951;Sunset Blvd.;;;;
Humphrey Bogart;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;Sí;1952;The African Queen;;;;
Marlon Brando;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Men;Mejor actor;No;1952;A Streetcar Named Desire;;;;
Montgomery Clift;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Search;Mejor actor;No;1952;A Place in the Sun;;;;
Arthur Kennedy;Masculino;Worcester, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; City for Conquest;Mejor actor;No;1952;Bright Victory;;;;
Fredric March;Masculino;Racine, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Dummy;Mejor actor;No;1952;Death of a Salesman;;;;
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;No;1952;The African Queen;;;;
Vivien Leigh;Femenino;Darjeeling, India;Británica;No aplica;Blanca;No; The Village Squire;Mejor actriz;Sí;1952;A Streetcar Named Desire;;;;
Eleanor Parker;Femenino;Cedarville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Busses Roar;Mejor actriz;No;1952;Detective Story;;;;
Shelley Winters;Femenino;San Luis, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Sailor's Holiday;Mejor actriz;No;1952;A Place in the Sun;;;;
Jane Wyman;Femenino;Saint Joseph, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Smart Blonde;Mejor actriz;No;1952;The Blue Veil;;;;
Marlon Brando;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Men;Mejor actor;No;1953;Viva Zapata!;;;;
Gary Cooper;Masculino;Helena, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Winning of Barbara Worth;Mejor actor;Sí;1953;High Noon;;;;
Kirk Douglas;Masculino;Ámsterdam, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Strange Love of Martha Ivers;Mejor actor;No;1953;The Bad and the Beautiful;;;;
José Ferrer;Masculino;Santurce, Puerto Rico;Puertorriqueña;No aplica;Hispana;Sí; Joan of Arc;Mejor actor;No;1953;Moulin Rouge;;;;
Alec Guinness;Masculino;Londres, Inglaterra;Británica;No aplica;Blanca;No; Great Expectations;Mejor actor;No;1953;The Lavender Hill Mob;;;;
Shirley Booth;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Come Back, Little Sheba;Mejor actriz;Sí;1953;Come Back, Little Sheba;;;;
Joan Crawford;Femenino;San Antonio, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Pretty Ladies;Mejor actriz;No;1953;Sudden Fear;;;;
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1953;The Star;;;;
Julie Harris;Femenino;Parque Grosse Pointe, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Member of the Wedding;Mejor actriz;No;1953;The Member of the Wedding;;;;
Susan Hayward;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Girls on Probation;Mejor actriz;No;1953;With a Song in My Heart;;;;
Marlon Brando;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Men;Mejor actor;No;1954;Julius Caesar;;;;
Richard Burton;Masculino;Pontrhydyfen, Reino Unido;Británica ;No aplica;Blanca;No; The Last Days of Dolwyn;Mejor actor;No;1954;The Robe;;;;
Montgomery Clift;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Search;Mejor actor;No;1954;From Here to Eternity;;;;
William Holden;Masculino;O'Fallon, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Golden Boy;Mejor actor;Sí;1954;Stalag 17;;;;
Burt Lancaster;Masculino;Manhattan, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Killers;Mejor actor;No;1954;From Here to Eternity;;;;
Leslie Caron;Femenino;Boulogne-Billancourt, Francia;Francesa;Estadounidense ;Blanca;Sí; An American in Paris;Mejor actriz;No;1954;Lili;;;;
Ava Gardner;Femenino;Brogden, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Ghosts on the Loose;Mejor actriz;No;1954;Mogambo;;;;
Audrey Hepburn;Femenino;Ixelles, Bélgica;Británica;No aplica;Blanca;No; One Wild Oat;Mejor actriz;Sí;1954;Roman Holiday;;;;
Deborah Kerr;Femenino;Helensburgh, Escocia;Británica;No aplica;Blanca;No; Major Barbara;Mejor actriz;No;1954;From Here to Eternity;;;;
Maggie McNamara;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Moon Is Blue;Mejor actriz;No;1954;The Moon Is Blue;;;;
Humphrey Bogart;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1955;The Caine Mutiny;;;;
Marlon Brando;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Men;Mejor actor;Sí;1955;On the Waterfront;;;;
Bing Crosby;Masculino;Tacoma, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí;  King of Jazz;Mejor actor;No;1955;The Country Girl;;;;
James Mason;Masculino;Huddersfield, Inglaterra;Británica;No aplica;Blanca;No; Late Extra;Mejor actor;No;1955;A Star Is Born;;;;
Dan O'Herlihy;Masculino;Wexford, Irlanda;Irlandesa;Estadounidense;Blanca;No; Hungry Hill;Mejor actor;No;1955;Adventures of Robinson Crusoe;;;;
Dorothy Dandridge;Femenino;Cleveland, Estados Unidos;Estadounidense ;No aplica;Negra;Sí; The Big Broadcast of 1936;Mejor actriz;No;1955;Carmen Jones;;;;
Judy Garland;Femenino;Grand Rapids, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Wedding of Jack and Jill;Mejor actriz;No;1955;A Star Is Born;;;;
Audrey Hepburn;Femenino;Ixelles, Bélgica;Británica;No aplica;Blanca;No; One Wild Oat;Mejor actriz;No;1955;Sabrina;;;;
Grace Kelly;Femenino;Filadelfia, Estados Unidos;Estadounidense;Monegasca;Blanca;Sí; Fourteen Hours;Mejor actriz;Sí;1955;The Country Girl;;;;
Jane Wyman;Femenino;Saint Joseph, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Smart Blonde;Mejor actriz;No;1955;Magnificent Obsession;;;;
Ernest Borgnine;Masculino;Hamden, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; China Corsair;Mejor actor;Sí;1956;Marty;;;;
James Cagney;Masculino;Manhattan, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Sinners' Holiday;Mejor actor;No;1956;Love Me or Leave Me;;;;
James Dean;Masculino;Marion, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; East of Eden;Mejor actor;No;1956;East of Eden;;;;
Frank Sinatra;Masculino;Hoboken, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Reveille with Beverly;Mejor actor;No;1956;The Man with the Golden Arm;;;;
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1956;Bad Day at Black Rock;;;;
Susan Hayward;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Girls on Probation;Mejor actriz;No;1956;I'll Cry Tomorrow;;;;
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;No;1956;Summertime;;;;
Jennifer Jones;Femenino;Tulsa, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; New Frontier;Mejor actriz;No;1956;Love Is a Many-Splendored Thing;;;;
Anna Magnani;Femenino;Roma, Italia;Italiana;No aplica;Blanca;No; La cieca di Sorrento;Mejor actriz;Sí;1956;The Rose Tattoo;;;;
Eleanor Parker;Femenino;Cedarville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Busses Roar;Mejor actriz;No;1956;Interrupted Melody;;;;
Yul Brynner;Masculino;Vladivostok, Rusia;Estadounidense;Suiza;Blanca;Sí; Port of New York;Mejor actor;Sí;1957;The King and I;;;;
James Dean;Masculino;Marion, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; East of Eden;Mejor actor;No;1957;Giant;;;;
Kirk Douglas;Masculino;Ámsterdam, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Strange Love of Martha Ivers;Mejor actor;No;1957;Lust for Life;;;;
Rock Hudson;Masculino;Winnetka, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Undertow;Mejor actor;No;1957;Giant;;;;
Laurence Olivier;Masculino;Dorking, Inglaterra;Británica;No aplica;Blanca;No; The Temporary Widow;Mejor actor;No;1957;Richard III;;;;
Carroll Baker;Femenino;Johnstown, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Easy to Love;Mejor actriz;No;1957;Baby Doll;;;;
Ingrid Bergman;Femenino;Estocolmo, Suecia;Sueca ;No aplica;Blanca;No; Munkbrogreven;Mejor actriz;Sí;1957;Anastasia;;;;
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;No;1957;The Rainmaker;;;;
Nancy Kelly;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Untamed Lady;Mejor actriz;No;1957;The Bad Seed;;;;
Deborah Kerr;Femenino;Helensburgh, Escocia;Británica;No aplica;Blanca;No; Major Barbara;Mejor actriz;No;1957;The King and I;;;;
Marlon Brando;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Men;Mejor actor;No;1958;Sayonara;;;;
Anthony Franciosa;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; This Could Be the Night;Mejor actor;No;1958;A Hatful of Rain;;;;
Alec Guinness;Masculino;Londres, Inglaterra;Británica;No aplica;Blanca;No; Great Expectations;Mejor actor;Sí;1958;The Bridge on the River Kwai;;;;
Charles Laughton;Masculino;Scarborough, Inglaterra;Británica;Estadounidense ;Blanca;No; The Tonic;Mejor actor;No;1958;Witness for the Prosecution;;;;
Anthony Quinn;Masculino;Chihuahua, México;Mexicana;Estadounidense ;Hispana;Sí; Parole!;Mejor actor;No;1958;Wild Is the Wind;;;;
Deborah Kerr;Femenino;Helensburgh, Escocia;Británica;No aplica;Blanca;No; Major Barbara;Mejor actriz;No;1958;Heaven Knows, Mr. Allison;;;;
Anna Magnani;Femenino;Roma, Italia;Italiana;No aplica;Blanca;No; La cieca di Sorrento;Mejor actriz;No;1958;Wild Is the Wind;;;;
Elizabeth Taylor;Femenino;Londres, Inglaterra;Británica;Estadounidense;Blanca;Sí; There's One Born Every Minute;Mejor actriz;No;1958;Raintree County;;;;
Lana Turner;Femenino;Wallace, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; They Won't Forget;Mejor actriz;No;1958;Peyton Place;;;;
Joanne Woodward;Femenino;Thomasville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Count Three and Pray;Mejor actriz;Sí;1958;The Three Faces of Eve;;;;
Tony Curtis;Masculino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; City Across the River;Mejor actor;No;1959;The Defiant Ones;;;;
Paul Newman;Masculino;Shaker Heights, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Silver Chalice;Mejor actor;No;1959;Cat on a Hot Tin Roof;;;;
David Niven;Masculino;Londres, Inglaterra;Británica;No aplica;Blanca;Sí; Without Regret;Mejor actor;Sí;1959;Separate Tables;;;;
Sidney Poitier;Masculino;Miami, Estados Unidos;Bahameña;Estadounidense;Negra;Sí; No Way Out;Mejor actor;No;1959;The Defiant Ones;;;;
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1959;The Old Man and the Sea;;;;
Susan Hayward;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Girls on Probation;Mejor actriz;Sí;1959;I Want to Live!;;;;
Deborah Kerr;Femenino;Helensburgh, Escocia;Británica;No aplica;Blanca;No; Major Barbara;Mejor actriz;No;1959;Separate Tables;;;;
Shirley MacLaine;Femenino;Richmond, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Trouble with Harry;Mejor actriz;No;1959;Some Came Running;;;;
Rosalind Russell;Femenino;Waterbury, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Evelyn Prentice;Mejor actriz;No;1959;Auntie Mame;;;;
Elizabeth Taylor;Femenino;Londres, Inglaterra;Británica;Estadounidense;Blanca;Sí; There's One Born Every Minute;Mejor actriz;No;1959;Cat on a Hot Tin Roof;;;;
Laurence Harvey;Masculino;Jonischkis, Lituania;Británica;No aplica;Blanca;No; House of Darkness;Mejor actor;No;1960;Room at the Top;;;;
Charlton Heston;Masculino;Evanston, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Peer Gynt;Mejor actor;Sí;1960;Ben-Hur;;;;
Jack Lemmon;Masculino;Newton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; It Should Happen to You;Mejor actor;No;1960;Some Like It Hot;;;;
Paul Muni;Masculino;Leópolis, Ucrania;Estadounidense;No aplica;Blanca;Sí; The Valiant;Mejor actor;No;1960;The Last Angry Man;;;;
Jimmy Stewart;Masculino;Indiana, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Murder Man;Mejor actor;No;1960;Anatomy of a Murder;;;;
Doris Day;Femenino;Cincinnati, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Romance on the High Seas;Mejor actriz;No;1960;Pillow Talk;;;;
Audrey Hepburn;Femenino;Ixelles, Bélgica;Británica;No aplica;Blanca;No; One Wild Oat;Mejor actriz;No;1960;The Nun's Story;;;;
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;No;1960;Suddenly, Last Summer;;;;
Simone Signoret;Femenino;Wiesbaden, Alemania;Francesa ;No aplica;Blanca;No; Béatrice devant le désir;Mejor actriz;Sí;1960;Room at the Top;;;;
Elizabeth Taylor;Femenino;Londres, Inglaterra;Británica;Estadounidense;Blanca;Sí; There's One Born Every Minute;Mejor actriz;No;1960;Suddenly, Last Summer;;;;
Trevor Howard;Masculino;Cliftonville, Inglaterra;Británica;No aplica;Blanca;No; The Way to the Stars;Mejor actor;No;1961;Sons and Lovers;;;;
Burt Lancaster;Masculino;Manhattan, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Killers;Mejor actor;Sí;1961;Elmer Gantry;;;;
Jack Lemmon;Masculino;Newton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; It Should Happen to You;Mejor actor;No;1961;The Apartment;;;;
Laurence Olivier;Masculino;Dorking, Inglaterra;Británica;No aplica;Blanca;No; The Temporary Widow;Mejor actor;No;1961;The Entertainer;;;;
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1961;Inherit the Wind;;;;
Greer Garson;Femenino;Londres, Inglaterra;Británica;Estadounidense ;Blanca;Sí; Goodbye, Mr. Chips;Mejor actriz;No;1961;Sunrise at Campobello;;;;
Deborah Kerr;Femenino;Helensburgh, Escocia;Británica;No aplica;Blanca;No; Major Barbara;Mejor actriz;No;1961;The Sundowners;;;;
Shirley MacLaine;Femenino;Richmond, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Trouble with Harry;Mejor actriz;No;1961;The Apartment;;;;
Melina Mercouri;Femenino;Atenas, Grecia;Griega;No aplica;Blanca;No; Stella;Mejor actriz;No;1961;Never on Sunday;;;;
Elizabeth Taylor;Femenino;Londres, Inglaterra;Británica;Estadounidense;Blanca;Sí; There's One Born Every Minute;Mejor actriz;Sí;1961;Butterfield 8;;;;
Charles Boyer;Masculino;Figeac, Francia;Francesa;Estadounidense ;Blanca;No; L'Homme du large;Mejor actor;No;1962;Fanny;;;;
Paul Newman;Masculino;Shaker Heights, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Silver Chalice;Mejor actor;No;1962;The Hustler;;;;
Maximilian Schell;Masculino;Viena, Austria;Austríaca;Suiza;Blanca;No; Kinder, Mütter und ein General;Mejor actor;Sí;1962;Judgment at Nuremberg;;;;
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1962;Judgment at Nuremberg;;;;
Stuart Whitman;Masculino;San Francisco, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; All American;Mejor actor;No;1962;The Mark;;;;
Audrey Hepburn;Femenino;Ixelles, Bélgica;Británica;No aplica;Blanca;No; One Wild Oat;Mejor actriz;No;1962;Breakfast at Tiffany's;;;;
Piper Laurie;Femenino;Detroit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Louisa;Mejor actriz;No;1962;The Hustler;;;;
Sophia Loren;Femenino;Roma, Italia;Italiana;Francesa;Blanca;No; Lebbra bianca;Mejor actriz;Sí;1962;Two Women;;;;
Geraldine Page;Femenino;Kirksville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hondo;Mejor actriz;No;1962;Summer and Smoke;;;;
