nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;ano_pelicula_nominada;original_language;genres;production_companies;production_countries;spoken_languages
José Ferrer;Masculino;Santurce, Puerto Rico;Puertorriqueña;No aplica;Hispana;Sí; Joan of Arc;Mejor actor;No;1953;Moulin Rouge;1952;ingles;Drama, Music;United Artists, Romulus Films;Reino Unido;Ingles
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1953;The Star;1952;ingles;Drama, Romance;Bert E. Friedlob Productions;Estados Unidos;Ingles
Shirley Booth;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Come Back, Little Sheba;Mejor actriz;Sí;1953;Come Back, Little Sheba;1952;ingles;Romance, Drama;Paramount;Estados Unidos;Ingles
Julie Harris;Femenino;Parque Grosse Pointe, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Member of the Wedding;Mejor actriz;No;1953;The Member of the Wedding;1952;ingles;Drama;Stanley Kramer Productions;Estados Unidos;Ingles
Susan Hayward;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Girls on Probation;Mejor actriz;No;1953;With a Song in My Heart;1952;ingles;Drama, Music;20th Century Fox;Estados Unidos;Ingles
Alec Guinness;Masculino;Londres, Inglaterra;Británica;No aplica;Blanca;No; Great Expectations;Mejor actor;No;1953;The Lavender Hill Mob;1952;Inglés;Comedia, Crimen;Ealing Studios;Reino Unido;Inglés
Audrey Hepburn;Femenino;Ixelles, Bélgica;Británica;No aplica;Blanca;No; One Wild Oat;Mejor actriz;Sí;1954;Roman Holiday;1953;ingles;Romance, Comedy, Drama;Paramount;Estados Unidos;Ingles, Italiano
Montgomery Clift;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Search;Mejor actor;No;1954;From Here to Eternity;1953;ingles;War, Romance, Drama;Columbia Pictures;Estados Unidos;Ingles, Italiano
Burt Lancaster;Masculino;Manhattan, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Killers;Mejor actor;No;1954;From Here to Eternity;1953;ingles;War, Romance, Drama;Columbia Pictures;Estados Unidos;Ingles, Italiano
Deborah Kerr;Femenino;Helensburgh, Escocia;Británica;No aplica;Blanca;No; Major Barbara;Mejor actriz;No;1954;From Here to Eternity;1953;ingles;War, Romance, Drama;Columbia Pictures;Estados Unidos;Ingles, Italiano
William Holden;Masculino;O'Fallon, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Golden Boy;Mejor actor;Sí;1954;Stalag 17;1953;ingles;Comedy, War, Mystery, Drama;Paramount;Estados Unidos;Ingles, Aleman, Ruso
Richard Burton;Masculino;Pontrhydyfen, Reino Unido;Británica ;No aplica;Blanca;No; The Last Days of Dolwyn;Mejor actor;No;1954;The Robe;1953;ingles;Drama, History;20th Century Fox;Estados Unidos;Ingles
Marlon Brando;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Men;Mejor actor;No;1954;Julius Caesar;1953;ingles;Drama, History;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Ava Gardner;Femenino;Brogden, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Ghosts on the Loose;Mejor actriz;No;1954;Mogambo;1953;ingles;Adventure, Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Leslie Caron;Femenino;Boulogne-Billancourt, Francia;Francesa;Estadounidense ;Blanca;Sí; An American in Paris;Mejor actriz;No;1954;Lili;1953;ingles;Drama, Family, Music, Romance;Loew's Incorporated, Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Maggie McNamara;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Moon Is Blue;Mejor actriz;No;1954;The Moon Is Blue;1953;ingles;Comedy, Romance;Otto Preminger Films, United Artists;Estados Unidos;Ingles
Marlon Brando;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Men;Mejor actor;Sí;1955;On the Waterfront;1954;ingles;Crime, Drama;Columbia Pictures, Horizon Pictures;Estados Unidos;Ingles
Audrey Hepburn;Femenino;Ixelles, Bélgica;Británica;No aplica;Blanca;No; One Wild Oat;Mejor actriz;No;1955;Sabrina;1954;ingles;Comedy, Romance;Paramount;Estados Unidos;Ingles, Frances
Humphrey Bogart;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1955;The Caine Mutiny;1954;ingles;Drama, War;Stanley Kramer Productions, Columbia Pictures;Estados Unidos;Ingles
James Mason;Masculino;Huddersfield, Inglaterra;Británica;No aplica;Blanca;No; Late Extra;Mejor actor;No;1955;A Star Is Born;1954;ingles;Drama, Music, Romance;Transcona Enterprises, Warner Bros. Pictures;Estados Unidos;Ingles
Judy Garland;Femenino;Grand Rapids, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Wedding of Jack and Jill;Mejor actriz;No;1955;A Star Is Born;1954;ingles;Drama, Music, Romance;Transcona Enterprises, Warner Bros. Pictures;Estados Unidos;Ingles
Jane Wyman;Femenino;Saint Joseph, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Smart Blonde;Mejor actriz;No;1955;Magnificent Obsession;1954;ingles;Drama, Romance;Universal International Pictures;Estados Unidos;Aleman, Ingles
Dorothy Dandridge;Femenino;Cleveland, Estados Unidos;Estadounidense ;No aplica;Negra;Sí; The Big Broadcast of 1936;Mejor actriz;No;1955;Carmen Jones;1954;ingles;Drama, Romance;Carlyle Productions;Estados Unidos;Ingles
Bing Crosby;Masculino;Tacoma, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí;  King of Jazz;Mejor actor;No;1955;The Country Girl;1954;ingles;Music, Drama;Paramount, Perlberg-Seaton Productions;Estados Unidos;Español, Ingles
Grace Kelly;Femenino;Filadelfia, Estados Unidos;Estadounidense;Monegasca;Blanca;Sí; Fourteen Hours;Mejor actriz;Sí;1955;The Country Girl;1954;ingles;Music, Drama;Paramount, Perlberg-Seaton Productions;Estados Unidos;Español, Ingles
Dan O'Herlihy;Masculino;Wexford, Irlanda;Irlandesa;Estadounidense;Blanca;No; Hungry Hill;Mejor actor;No;1955;Adventures of Robinson Crusoe;1954;Inglés;Aventura, Drama;Tepeyac Productions, Oscar Dancigers;México, Estados Unidos;Inglés, español
James Dean;Masculino;Marion, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; East of Eden;Mejor actor;No;1956;East of Eden;1955;ingles;Drama;Warner Bros. Pictures;Estados Unidos;Ingles
Ernest Borgnine;Masculino;Hamden, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; China Corsair;Mejor actor;Sí;1956;Marty;1955;ingles;Drama, Romance;United Artists, Hecht-Lancaster Productions;Estados Unidos;Ingles
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1956;Bad Day at Black Rock;1955;ingles;Thriller, Drama, Mystery, Western;Loew's Incorporated, Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Frank Sinatra;Masculino;Hoboken, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Reveille with Beverly;Mejor actor;No;1956;The Man with the Golden Arm;1955;ingles;Drama, Crime;Otto Preminger Films;Estados Unidos;Ingles
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;No;1956;Summertime;1955;ingles;Drama, Romance;London Films Productions, Lopert Pictures Corporation;Reino Unido, Estados Unidos;Ingles, Italiano
Jennifer Jones;Femenino;Tulsa, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; New Frontier;Mejor actriz;No;1956;Love Is a Many-Splendored Thing;1955;ingles;Drama, Romance;20th Century Fox;Estados Unidos;Mandarin, Ingles
Anna Magnani;Femenino;Roma, Italia;Italiana;No aplica;Blanca;No; La cieca di Sorrento;Mejor actriz;Sí;1956;The Rose Tattoo;1955;ingles;Drama, Romance;Paramount;Estados Unidos;Ingles, Italiano
James Cagney;Masculino;Manhattan, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Sinners' Holiday;Mejor actor;No;1956;Love Me or Leave Me;1955;ingles;Drama, Music, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Susan Hayward;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Girls on Probation;Mejor actriz;No;1956;I'll Cry Tomorrow;1955;ingles;Drama;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Eleanor Parker;Femenino;Cedarville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Busses Roar;Mejor actriz;No;1956;Interrupted Melody;1955;ingles;Drama, Music;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
James Dean;Masculino;Marion, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; East of Eden;Mejor actor;No;1957;Giant;1956;ingles;Drama, Western;Warner Bros. Pictures, George Stevens Productions;Estados Unidos;Ingles, Español
Rock Hudson;Masculino;Winnetka, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Undertow;Mejor actor;No;1957;Giant;1956;ingles;Drama, Western;Warner Bros. Pictures, George Stevens Productions;Estados Unidos;Ingles, Español
Yul Brynner;Masculino;Vladivostok, Rusia;Estadounidense;Suiza;Blanca;Sí; Port of New York;Mejor actor;Sí;1957;The King and I;1956;ingles;Drama, Romance, Adventure, Music;20th Century Fox;Estados Unidos;Ingles, Italiano, Tailandes
Deborah Kerr;Femenino;Helensburgh, Escocia;Británica;No aplica;Blanca;No; Major Barbara;Mejor actriz;No;1957;The King and I;1956;ingles;Drama, Romance, Adventure, Music;20th Century Fox;Estados Unidos;Ingles, Italiano, Tailandes
Nancy Kelly;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Untamed Lady;Mejor actriz;No;1957;The Bad Seed;1956;ingles;Thriller, Mystery, Horror, Drama;Warner Bros. Pictures;Estados Unidos;Ingles
Kirk Douglas;Masculino;Ámsterdam, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Strange Love of Martha Ivers;Mejor actor;No;1957;Lust for Life;1956;ingles;Drama, History;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Ingrid Bergman;Femenino;Estocolmo, Suecia;Sueca ;No aplica;Blanca;No; Munkbrogreven;Mejor actriz;Sí;1957;Anastasia;1956;ingles;Drama, History, Romance;20th Century Fox;Estados Unidos;Ingles, Frances
Carroll Baker;Femenino;Johnstown, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Easy to Love;Mejor actriz;No;1957;Baby Doll;1956;ingles;Drama;Newtown Productions, Warner Bros. Pictures;Estados Unidos;Ingles
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;No;1957;The Rainmaker;1956;ingles;Romance, Western;Hal Wallis Productions, Paramount;Estados Unidos;Ingles
Laurence Olivier;Masculino;Dorking, Inglaterra;Británica;No aplica;Blanca;No; The Temporary Widow;Mejor actor;No;1957;Richard III;1956;Inglés;Drama, Historia;London Film Productions;Reino Unido;Inglés
Alec Guinness;Masculino;Londres, Inglaterra;Británica;No aplica;Blanca;No; Great Expectations;Mejor actor;Sí;1958;The Bridge on the River Kwai;1957;ingles;Drama, History, War;Horizon Pictures, Columbia Pictures;Reino Unido, Estados Unidos;Japones, Tailandes, Ingles
Charles Laughton;Masculino;Scarborough, Inglaterra;Británica;Estadounidense ;Blanca;No; The Tonic;Mejor actor;No;1958;Witness for the Prosecution;1957;ingles;Drama, Mystery, Crime;Edward Small Productions, United Artists;Estados Unidos;Aleman, Ingles
Joanne Woodward;Femenino;Thomasville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Count Three and Pray;Mejor actriz;Sí;1958;The Three Faces of Eve;1957;ingles;Drama;20th Century Fox;Estados Unidos;Ingles
Marlon Brando;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Men;Mejor actor;No;1958;Sayonara;1957;ingles;Drama, Romance;Pennebaker Productions, William Goetz Productions, Warner Bros. Pictures;Estados Unidos;Ingles, Japones
Deborah Kerr;Femenino;Helensburgh, Escocia;Británica;No aplica;Blanca;No; Major Barbara;Mejor actriz;No;1958;Heaven Knows, Mr. Allison;1957;ingles;Adventure, War, Drama;20th Century Fox;Estados Unidos;Ingles, Japones
Lana Turner;Femenino;Wallace, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; They Won't Forget;Mejor actriz;No;1958;Peyton Place;1957;ingles;Drama, Romance;Jerry Wald Productions, 20th Century Fox;Estados Unidos;Ingles
Elizabeth Taylor;Femenino;Londres, Inglaterra;Británica;Estadounidense;Blanca;Sí; There's One Born Every Minute;Mejor actriz;No;1958;Raintree County;1957;ingles;Drama, Romance, History;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Anthony Franciosa;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; This Could Be the Night;Mejor actor;No;1958;A Hatful of Rain;1957;ingles;Drama;20th Century Fox;Estados Unidos;Ingles, Frances, Italiano
Anthony Quinn;Masculino;Chihuahua, México;Mexicana;Estadounidense ;Hispana;Sí; Parole!;Mejor actor;No;1958;Wild Is the Wind;1957;ingles;Drama, Romance;Wallis-Hazen Inc.;Estados Unidos;Ingles
Anna Magnani;Femenino;Roma, Italia;Italiana;No aplica;Blanca;No; La cieca di Sorrento;Mejor actriz;No;1958;Wild Is the Wind;1957;ingles;Drama, Romance;Wallis-Hazen Inc.;Estados Unidos;Ingles
Paul Newman;Masculino;Shaker Heights, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Silver Chalice;Mejor actor;No;1959;Cat on a Hot Tin Roof;1958;ingles;Drama;Avon Productions, Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Elizabeth Taylor;Femenino;Londres, Inglaterra;Británica;Estadounidense;Blanca;Sí; There's One Born Every Minute;Mejor actriz;No;1959;Cat on a Hot Tin Roof;1958;ingles;Drama;Avon Productions, Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Tony Curtis;Masculino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; City Across the River;Mejor actor;No;1959;The Defiant Ones;1958;ingles;Crime, Drama;Curtleigh Productions, Stanley Kramer Productions, United Artists;Estados Unidos;Ingles
Sidney Poitier;Masculino;Miami, Estados Unidos;Bahameña;Estadounidense;Negra;Sí; No Way Out;Mejor actor;No;1959;The Defiant Ones;1958;ingles;Crime, Drama;Curtleigh Productions, Stanley Kramer Productions, United Artists;Estados Unidos;Ingles
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1959;The Old Man and the Sea;1958;ingles;Adventure, Drama;Leland Hayward Productions, Warner Bros. Pictures;Estados Unidos;Ingles
Shirley MacLaine;Femenino;Richmond, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Trouble with Harry;Mejor actriz;No;1959;Some Came Running;1958;ingles;Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
David Niven;Masculino;Londres, Inglaterra;Británica;No aplica;Blanca;Sí; Without Regret;Mejor actor;Sí;1959;Separate Tables;1958;ingles;Drama, Romance;Norlan Productions, Hecht-Hill-Lancaster Productions, Clifton Productions;Estados Unidos;Ingles
Deborah Kerr;Femenino;Helensburgh, Escocia;Británica;No aplica;Blanca;No; Major Barbara;Mejor actriz;No;1959;Separate Tables;1958;ingles;Drama, Romance;Norlan Productions, Hecht-Hill-Lancaster Productions, Clifton Productions;Estados Unidos;Ingles
Rosalind Russell;Femenino;Waterbury, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Evelyn Prentice;Mejor actriz;No;1959;Auntie Mame;1958;ingles;Comedy, Drama;Warner Bros. Pictures;Estados Unidos;Frances, Ingles
Susan Hayward;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Girls on Probation;Mejor actriz;Sí;1959;I Want to Live!;1958;ingles;Crime, Drama;United Artists, Figaro Incorporated Production;Estados Unidos;Ingles
Jack Lemmon;Masculino;Newton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; It Should Happen to You;Mejor actor;No;1960;Some Like It Hot;1959;ingles;Comedy, Romance, Crime;The Mirisch Company, Ashton Productions, United Artists;Estados Unidos;Ingles
Charlton Heston;Masculino;Evanston, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Peer Gynt;Mejor actor;Sí;1960;Ben-Hur;1959;ingles;Action, Drama, History, Adventure;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Jimmy Stewart;Masculino;Indiana, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Murder Man;Mejor actor;No;1960;Anatomy of a Murder;1959;ingles;Crime, Drama, Mystery;Columbia Pictures;Estados Unidos;Ingles
Doris Day;Femenino;Cincinnati, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Romance on the High Seas;Mejor actriz;No;1960;Pillow Talk;1959;ingles;Comedy, Romance;Arwin Productions;Estados Unidos;Ingles, Frances
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;No;1960;Suddenly, Last Summer;1959;ingles;Thriller, Drama, Mystery;Horizon Pictures, Academy Pictures Corporation, Camp Films, Columbia Pictures;Reino Unido, Estados Unidos;Ingles
Elizabeth Taylor;Femenino;Londres, Inglaterra;Británica;Estadounidense;Blanca;Sí; There's One Born Every Minute;Mejor actriz;No;1960;Suddenly, Last Summer;1959;ingles;Thriller, Drama, Mystery;Horizon Pictures, Academy Pictures Corporation, Camp Films, Columbia Pictures;Reino Unido, Estados Unidos;Ingles
Audrey Hepburn;Femenino;Ixelles, Bélgica;Británica;No aplica;Blanca;No; One Wild Oat;Mejor actriz;No;1960;The Nun's Story;1959;ingles;Drama;Warner Bros. Pictures;Estados Unidos;Ingles, Latin, Swahili
Laurence Harvey;Masculino;Jonischkis, Lituania;Británica;No aplica;Blanca;No; House of Darkness;Mejor actor;No;1960;Room at the Top;1959;ingles;Drama, Romance;Romulus Films, Remus;Reino Unido;Ingles
Simone Signoret;Femenino;Wiesbaden, Alemania;Francesa ;No aplica;Blanca;No; Béatrice devant le désir;Mejor actriz;Sí;1960;Room at the Top;1959;ingles;Drama, Romance;Romulus Films, Remus;Reino Unido;Ingles
Paul Muni;Masculino;Leópolis, Ucrania;Estadounidense;No aplica;Blanca;Sí; The Valiant;Mejor actor;No;1960;The Last Angry Man;1959;ingles;Drama;Columbia Pictures;Estados Unidos;Ingles
Jack Lemmon;Masculino;Newton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; It Should Happen to You;Mejor actor;No;1961;The Apartment;1960;ingles;Comedy, Drama, Romance;The Mirisch Company, United Artists;Estados Unidos;Ingles
Shirley MacLaine;Femenino;Richmond, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Trouble with Harry;Mejor actriz;No;1961;The Apartment;1960;ingles;Comedy, Drama, Romance;The Mirisch Company, United Artists;Estados Unidos;Ingles
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1961;Inherit the Wind;1960;ingles;Drama;Stanley Kramer Productions, United Artists;Estados Unidos;Ingles, Italiano
Burt Lancaster;Masculino;Manhattan, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Killers;Mejor actor;Sí;1961;Elmer Gantry;1960;ingles;Drama;United Artists;Estados Unidos;Ingles
Elizabeth Taylor;Femenino;Londres, Inglaterra;Británica;Estadounidense;Blanca;Sí; There's One Born Every Minute;Mejor actriz;Sí;1961;Butterfield 8;1960;ingles;Drama;Afton-Linebrook;Estados Unidos;Ingles
Melina Mercouri;Femenino;Atenas, Grecia;Griega;No aplica;Blanca;No; Stella;Mejor actriz;No;1961;Never on Sunday;1960;ingles;Comedy, Romance;MelinaFilm, Lopert Pictures Corporation;Greece;Ingles, Griego, Ruso
Deborah Kerr;Femenino;Helensburgh, Escocia;Británica;No aplica;Blanca;No; Major Barbara;Mejor actriz;No;1961;The Sundowners;1960;ingles;Adventure;Warner Bros. Pictures;Reino Unido;Ingles
Laurence Olivier;Masculino;Dorking, Inglaterra;Británica;No aplica;Blanca;No; The Temporary Widow;Mejor actor;No;1961;The Entertainer;1960;ingles;Drama;Woodfall Film Productions;Reino Unido;Ingles
Trevor Howard;Masculino;Cliftonville, Inglaterra;Británica;No aplica;Blanca;No; The Way to the Stars;Mejor actor;No;1961;Sons and Lovers;1960;ingles;Drama;20th Century Fox;Reino Unido;Ingles
Greer Garson;Femenino;Londres, Inglaterra;Británica;Estadounidense ;Blanca;Sí; Goodbye, Mr. Chips;Mejor actriz;No;1961;Sunrise at Campobello;1960;ingles;Drama, History;Dore Schary Productions;Estados Unidos;Ingles
Audrey Hepburn;Femenino;Ixelles, Bélgica;Británica;No aplica;Blanca;No; One Wild Oat;Mejor actriz;No;1962;Breakfast at Tiffany's;1961;ingles;Comedy, Romance, Drama;Paramount, Jurow-Shepherd;Estados Unidos;Ingles, Portuguese
Paul Newman;Masculino;Shaker Heights, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Silver Chalice;Mejor actor;No;1962;The Hustler;1961;ingles;Drama, Romance;Rossen Films, 20th Century Fox;Estados Unidos;Ingles
Piper Laurie;Femenino;Detroit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Louisa;Mejor actriz;No;1962;The Hustler;1961;ingles;Drama, Romance;Rossen Films, 20th Century Fox;Estados Unidos;Ingles
Maximilian Schell;Masculino;Viena, Austria;Austríaca;Suiza;Blanca;No; Kinder, Mütter und ein General;Mejor actor;Sí;1962;Judgment at Nuremberg;1961;ingles;Drama;United Artists, Roxlom Films;Estados Unidos;Ingles, Aleman
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1962;Judgment at Nuremberg;1961;ingles;Drama;United Artists, Roxlom Films;Estados Unidos;Ingles, Aleman
Natalie Wood;Femenino;San Francisco, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tomorrow Is Forever;Mejor actriz;No;1962;Splendor in the Grass;1961;ingles;Drama, Romance;Newton Productions, NBI Productions, Warner Bros. Pictures;Estados Unidos;Ingles
Charles Boyer;Masculino;Figeac, Francia;Francesa;Estadounidense ;Blanca;No; L'Homme du large;Mejor actor;No;1962;Fanny;1961;ingles;Drama, Romance;Mansfield Productions, Warner Bros. Pictures;Estados Unidos;Ingles
Geraldine Page;Femenino;Kirksville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hondo;Mejor actriz;No;1962;Summer and Smoke;1961;ingles;Drama, Romance;Paramount, Hal Wallis Productions;Estados Unidos;Ingles
Stuart Whitman;Masculino;San Francisco, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; All American;Mejor actor;No;1962;The Mark;1961;ingles;Drama;Buckman, Raymond Stross Productions;Reino Unido;Ingles
Sophia Loren;Femenino;Roma, Italia;Italiana;Francesa;Blanca;No; Lebbra bianca;Mejor actriz;Sí;1962;Two Women;1961;Italiano;Drama, Bélica;Compagnia Cinematografica Champion, Les Films Marceau, Cocinor, Société Générale de Cinématographie;Italia, Francia;Italiano
Peter O'Toole;Masculino;Leeds, Inglaterra;Británica;irlandesa;Blanca;Sí; Kidnapped;Mejor actor;No;1963;Lawrence of Arabia;1962;ingles;Adventure, Drama, History, War;Horizon Pictures;Reino Unido;Ingles, Arabe, Turco
Gregory Peck;Masculino;La Jolla, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Days of Glory;Mejor actor;Sí;1963;To Kill a Mockingbird;1962;ingles;Drama;Pakula-Mulligan, Brentwood Productions;Estados Unidos;Ingles, Aleman
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1963;What Ever Happened to Baby Jane?;1962;ingles;Drama, Horror, Thriller;The Associates & Aldrich Company, Seven Arts Productions, Warner Bros. Pictures;Estados Unidos;Ingles
Anne Bancroft;Femenino;Bronx, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Don't Bother to Knock;Mejor actriz;Sí;1963;The Miracle Worker;1962;ingles;Drama;Playfilm Productions;Estados Unidos;Ingles
Burt Lancaster;Masculino;Manhattan, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Killers;Mejor actor;No;1963;Birdman of Alcatraz;1962;ingles;Crime, Drama;Norma Productions, United Artists;Estados Unidos;Ingles
Geraldine Page;Femenino;Kirksville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hondo;Mejor actriz;No;1963;Sweet Bird of Youth;1962;ingles;Drama, Romance;Roxbury Productions, Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Jack Lemmon;Masculino;Newton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; It Should Happen to You;Mejor actor;No;1963;Days of Wine and Roses;1962;Inglés;Drama;Jalem Productions, Warner Bros. Pictures;Estados Unidos;Inglés
Lee Remick;Femenino;Quincy, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Face in the Crowd;Mejor actriz;No;1963;Days of Wine and Roses;1962;Inglés;Drama;Jalem Productions, Warner Bros. Pictures;Estados Unidos;Inglés
Marcello Mastroianni;Masculino;Frosinone, Italia;Italiana;No aplica;Blanca;No; Tempesta su Parigi;Mejor actor;No;1963;Divorce--Italian Style;1962;Italiano;Comedia, Crimen, Drama;Lux Film, Vides Cinematografica, Galatea Film;Italia;Italiano
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;No;1963;Long Day's Journey into Night;1962;Inglés;Drama;Ely Landau Organization;Estados Unidos;Inglés
Rex Harrison;Masculino;Huyton, Inglaterra;Británica;No aplica;Blanca;No; The Great Game;Mejor actor;No;1964;Cleopatra;1963;ingles;Drama, History, Romance;MCL Films S.A., Walwa Films S.A., 20th Century Fox;Estados Unidos, Reino Unido, Suiza;Ingles
Paul Newman;Masculino;Shaker Heights, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Silver Chalice;Mejor actor;No;1964;Hud;1963;ingles;Western, Drama;Paramount;Estados Unidos;Ingles
Patricia Neal;Femenino;Packard, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; John Loves Mary;Mejor actriz;Sí;1964;Hud;1963;ingles;Western, Drama;Paramount;Estados Unidos;Ingles
Albert Finney;Masculino;Salford, Inglaterra;Británica;No aplica;Blanca;No; The Entertainer;Mejor actor;No;1964;Tom Jones;1963;ingles;Adventure, Comedy, Romance;Woodfall Film Productions;Reino Unido;Ingles
Sidney Poitier;Masculino;Miami, Estados Unidos;Bahameña;Estadounidense;Negra;Sí; No Way Out;Mejor actor;Sí;1964;Lilies of the Field;1963;ingles;Comedy, Drama;Rainbow Productions, United Artists;Estados Unidos;Ingles, Aleman, Español
Richard Harris;Masculino;Limerick, Irlanda;Irlandesa;No aplica;Blanca;No; Alive and Kicking;Mejor actor;No;1964;This Sporting Life;1963;ingles;Drama;Julian Wintle/Leslie Parkyn Productions;Reino Unido;Ingles
Rachel Roberts;Femenino;Llanelli, Gales;Británica;No aplica;Blanca;No; Valley of Song;Mejor actriz;No;1964;This Sporting Life;1963;ingles;Drama;Julian Wintle/Leslie Parkyn Productions;Reino Unido;Ingles
